id,user_id,company_id,type,permission,is_deleted,create_date,status,modify_date
103,39328,39329,1,[],0,2026-03-07 14:39:18,0,2026-03-07 14:39:18
104,14655,39256,1,[],0,2026-03-09 16:10:44,0,2026-03-09 16:10:44
105,39314,39256,1,[],1,2026-03-09 18:00:51,0,2026-03-09 18:00:51
106,39314,39334,1,[],0,2026-03-10 11:42:16,0,2026-03-10 11:42:16
107,19,39336,1,[],0,2026-03-10 12:07:34,0,2026-03-10 12:07:34
108,39001,299,1,[],0,2026-03-10 15:00:04,0,2026-03-10 15:00:04
109,39314,3241,1,[],0,2026-03-10 15:06:47,0,2026-03-10 15:06:47
110,39001,39337,1,[],0,2026-03-10 15:19:40,0,2026-03-10 15:19:40
111,39001,39338,1,[],0,2026-03-10 15:28:13,0,2026-03-10 15:28:13
112,39316,39339,1,[],0,2026-03-10 18:34:07,0,2026-03-10 18:34:07
113,39335,39340,1,[],0,2026-03-11 10:43:15,0,2026-03-11 10:43:15
114,134,39256,1,[],0,2026-03-11 18:02:09,0,2026-03-11 18:02:09
115,39314,39013,1,[],1,2026-03-11 18:24:15,0,2026-03-11 18:24:15
116,39314,39311,1,[],1,2026-03-12 11:10:36,0,2026-03-12 11:10:36
117,19,39311,1,[],1,2026-03-12 11:34:13,0,2026-03-12 11:34:13
118,38872,39072,1,[],0,2026-03-13 13:11:58,0,2026-03-13 13:11:58
119,30210,38941,1,[],1,2026-03-13 17:25:04,0,2026-03-13 17:25:04
120,39314,39072,1,[],1,2026-03-16 10:50:12,0,2026-03-16 10:50:12
121,39343,39256,1,[],0,2026-03-16 11:08:04,0,2026-03-16 11:08:04
122,39343,39311,1,[],0,2026-03-16 11:09:23,0,2026-03-16 11:09:23
123,39343,39336,1,[],0,2026-03-16 11:13:49,0,2026-03-16 11:13:49
124,39355,39072,1,[],0,2026-03-18 14:30:33,0,2026-03-18 14:30:33
125,17,39072,1,[],1,2026-03-18 16:44:07,0,2026-03-18 16:44:07
126,39357,39358,1,[],0,2026-03-19 13:16:53,0,2026-03-19 13:16:53
127,39357,39072,1,[],1,2026-03-19 13:26:14,0,2026-03-19 13:26:14
129,39001,39360,1,[],0,2026-03-19 15:42:04,0,2026-03-19 15:42:04
130,19,39360,1,[],0,2026-03-19 15:46:01,0,2026-03-19 15:46:01
131,5014,39361,1,[],0,2026-03-19 16:00:00,0,2026-03-19 16:00:00
132,39357,39363,1,[],0,2026-03-19 16:50:43,0,2026-03-19 16:50:43
133,39346,39364,1,[],0,2026-03-19 17:00:00,0,2026-03-19 17:00:00
134,39332,39365,1,[],0,2026-03-19 17:49:04,0,2026-03-19 17:49:04
135,39371,39372,1,[],0,2026-03-21 13:42:11,0,2026-03-21 13:42:11
136,39314,39376,1,[],0,2026-03-21 14:57:48,0,2026-03-21 14:57:48
137,39373,39378,1,[],0,2026-03-21 15:52:04,0,2026-03-21 15:52:04
138,39373,39379,1,[],0,2026-03-21 18:47:27,0,2026-03-21 18:47:27
139,26656,39380,1,[],0,2026-03-21 19:55:18,0,2026-03-21 19:55:18
140,19,31884,1,[],0,2026-03-24 13:38:50,0,2026-03-24 13:38:50
141,39314,39383,1,[],0,2026-03-24 15:04:16,0,2026-03-24 15:04:16
142,39314,39384,1,[],0,2026-03-24 15:07:53,0,2026-03-24 15:07:53
143,18,39359,1,,0,2026-03-24 15:21:11,0,2026-03-24 15:21:11
144,18,39385,1,[],0,2026-03-24 16:30:59,0,2026-03-24 16:30:59
145,18,39386,1,[],0,2026-03-24 16:32:57,0,2026-03-24 16:32:57
146,18,39387,1,[],0,2026-03-24 16:34:09,0,2026-03-24 16:34:09
147,39388,39072,1,[],1,2026-03-25 13:14:07,0,2026-03-25 13:14:07
148,39395,39396,1,[],0,2026-03-26 11:23:30,0,2026-03-26 11:23:30
149,39335,39013,1,[],1,2026-03-26 11:29:13,0,2026-03-26 11:29:13
150,39398,39399,1,[],0,2026-03-26 12:31:39,0,2026-03-26 12:31:39
151,39400,39401,1,[],0,2026-03-26 12:42:24,0,2026-03-26 12:42:24
152,39402,39403,1,[],0,2026-03-26 12:57:54,0,2026-03-26 12:57:54
153,39404,39405,1,[],0,2026-03-26 13:01:21,0,2026-03-26 13:01:21
154,39406,39407,1,[],0,2026-03-26 13:20:58,0,2026-03-26 13:20:58
155,39408,39409,1,[],0,2026-03-26 13:29:11,0,2026-03-26 13:29:11
156,39335,39013,1,[],0,2026-03-30 14:43:53,0,2026-03-30 14:43:53
157,27244,39013,1,[],1,2026-03-30 14:45:25,0,2026-03-30 14:45:25
158,19,39013,1,[],0,2026-03-30 14:49:06,0,2026-03-30 14:49:06
159,39416,39417,1,[],0,2026-03-31 16:49:29,0,2026-03-31 16:49:29
160,39001,38941,1,[],0,2026-03-31 16:49:30,0,2026-03-31 16:49:30
161,39420,39421,1,[],0,2026-03-31 19:18:07,0,2026-03-31 19:18:07
162,38872,653,1,[],0,2026-03-13 13:11:58,0,2026-03-13 13:11:58
163,19,39423,1,[],0,2026-04-01 13:08:20,0,2026-04-01 13:08:20
164,19,39424,1,[],0,2026-04-01 13:32:50,0,2026-04-01 13:32:50
165,19,39425,1,[],0,2026-04-01 13:33:18,0,2026-04-01 13:33:18
166,5014,39256,1,[],0,2026-04-01 15:00:32,0,2026-04-01 15:00:32
167,18,39976,1,[],0,2026-04-01 17:48:01,0,2026-04-01 17:48:01
168,39001,39977,1,[],0,2026-04-01 18:04:51,0,2026-04-01 18:04:51
169,39335,39311,1,[],1,2026-04-02 11:32:35,0,2026-04-02 11:32:35
170,39314,39978,1,[],0,2026-04-02 12:37:56,0,2026-04-02 12:37:56
171,39979,39980,1,[],0,2026-04-02 15:05:26,0,2026-04-02 15:05:26
172,39979,39981,1,[],0,2026-04-02 15:08:34,0,2026-04-02 15:08:34
173,39314,39982,1,[],0,2026-04-02 15:09:25,0,2026-04-02 15:09:25
174,39314,39983,1,[],0,2026-04-02 15:50:14,0,2026-04-02 15:50:14
175,39984,39985,1,[],0,2026-04-02 16:49:33,0,2026-04-02 16:49:33
176,39986,39987,1,[],0,2026-04-02 17:00:59,0,2026-04-02 17:00:59
177,39988,39989,1,[],0,2026-04-02 17:16:38,0,2026-04-02 17:16:38
178,39990,39991,1,[],0,2026-04-02 17:22:03,0,2026-04-02 17:22:03
179,40001,40002,1,[],0,2026-04-03 15:11:09,0,2026-04-03 15:11:09
180,39335,39311,1,[],0,2026-04-03 15:36:02,0,2026-04-03 15:36:02
181,40036,40037,1,[],0,2026-04-03 18:56:32,0,2026-04-03 18:56:32
182,40038,40044,1,[],0,2026-04-04 17:45:18,0,2026-04-04 17:45:18
183,40045,40046,1,[],0,2026-04-04 17:50:57,0,2026-04-04 17:50:57
184,40047,40048,1,[],0,2026-04-04 17:55:49,0,2026-04-04 17:55:49
185,18,39311,1,[],1,2026-04-06 11:43:46,0,2026-04-06 11:43:46
186,39335,40054,1,[],0,2026-04-08 11:20:13,0,2026-04-08 11:20:13
187,39314,39340,1,[],0,2026-04-09 11:23:02,0,2026-04-09 11:23:02
188,639,39072,1,[],0,2026-04-10 11:30:21,0,2026-04-10 11:30:21
189,38860,40060,1,[],0,2026-04-11 12:40:14,0,2026-04-11 12:40:14
190,40061,40062,1,[],0,2026-04-11 15:42:46,0,2026-04-11 15:42:46
191,40063,40064,1,[],0,2026-04-11 16:15:25,0,2026-04-11 16:15:25
192,40065,40066,1,[],0,2026-04-11 16:17:07,0,2026-04-11 16:17:07
193,39335,38941,1,[],1,2026-04-16 15:44:54,0,2026-04-16 15:44:54
194,5014,38941,1,[],1,2026-04-16 16:05:31,0,2026-04-16 16:05:31
195,5014,38941,1,[],0,2026-04-16 16:06:18,0,2026-04-16 16:06:18
196,39335,38941,1,[],1,2026-04-17 11:55:49,0,2026-04-17 11:55:49
197,39335,38941,1,[],1,2026-04-17 11:57:28,0,2026-04-17 11:57:28
198,39397,38941,1,[],1,2026-04-17 12:17:54,0,2026-04-17 12:17:54
199,39397,38941,1,[],1,2026-04-17 12:20:23,0,2026-04-17 12:20:23
200,2787,38941,1,[],1,2026-04-17 15:58:25,0,2026-04-17 15:58:25
201,40069,40070,1,[],0,2026-04-17 16:51:48,0,2026-04-17 16:51:48
