id,job,user,status,is_deleted,create_date,modify_date
207,12,538,1,0,2025-04-22 08:01:21,2025-04-22 08:01:21
208,13,672,1,0,2025-04-22 11:36:08,2025-04-22 11:36:08
209,38,673,1,0,2025-04-22 13:14:18,2025-04-22 13:14:18
210,30,613,1,0,2025-04-22 16:09:41,2025-04-22 16:09:41
211,13,679,1,0,2025-04-22 16:49:07,2025-04-22 16:49:07
212,30,680,1,0,2025-04-22 16:53:10,2025-04-22 16:53:10
213,12,682,1,0,2025-04-22 17:32:41,2025-04-22 17:32:41
214,13,684,1,0,2025-04-23 12:00:03,2025-04-23 12:00:03
215,30,689,1,0,2025-04-23 12:16:42,2025-04-23 12:16:42
216,7,691,1,0,2025-04-23 12:47:30,2025-04-23 12:47:30
217,44,264,1,0,2025-04-23 13:57:34,2025-04-23 13:57:34
218,7,704,1,0,2025-04-23 18:51:46,2025-04-23 18:51:46
219,16,710,1,0,2025-04-23 23:37:21,2025-04-23 23:37:21
220,11,713,1,0,2025-04-24 02:21:30,2025-04-24 02:21:30
221,15,713,1,0,2025-04-24 02:22:14,2025-04-24 02:22:14
222,16,476,1,0,2025-04-24 02:39:42,2025-04-24 02:39:42
223,13,476,1,0,2025-04-24 02:40:13,2025-04-24 02:40:13
224,38,714,1,0,2025-04-24 05:06:12,2025-04-24 05:06:12
225,16,717,1,0,2025-04-24 08:23:02,2025-04-24 08:23:02
226,16,718,1,0,2025-04-24 08:57:24,2025-04-24 08:57:24
227,30,725,1,0,2025-04-24 11:22:44,2025-04-24 11:22:44
228,38,725,1,0,2025-04-24 11:23:14,2025-04-24 11:23:14
229,16,732,1,0,2025-04-24 11:46:36,2025-04-24 11:46:36
230,13,730,1,0,2025-04-24 12:02:09,2025-04-24 12:02:09
231,12,736,1,0,2025-04-24 12:03:20,2025-04-24 12:03:20
232,11,750,1,0,2025-04-24 13:53:02,2025-04-24 13:53:02
233,16,753,1,0,2025-04-24 14:28:10,2025-04-24 14:28:10
234,30,746,1,0,2025-04-24 15:13:01,2025-04-24 15:13:01
235,11,757,1,0,2025-04-24 15:15:33,2025-04-24 15:15:33
236,11,39,1,0,2025-04-24 15:34:47,2025-04-24 15:34:47
237,16,762,1,0,2025-04-24 17:46:44,2025-04-24 17:46:44
