id,message_id,sender,receiver,message,doc,is_viewed,for_approval,view_datetime,is_deleted,create_date,modify_date
63,41,4729,3109,NVZ3Nlh5QmpTNXhYQXo0RXF4VGs5UT09,,1,1,,0,2025-03-24 18:08:19,2025-03-24 18:08:19
64,47,4729,3463,RGpXWlZxVGxOT25vSDZ6YUFpa0R4dz09,,1,1,,0,2025-03-24 18:13:19,2025-03-24 18:13:19
65,55,6980,2596,TUxseW5BeUpnZ0puZ25iVUx6VkhXZz09,,0,1,,0,2025-03-24 18:18:19,2025-03-24 18:18:19
66,55,6980,2596,TUxseW5BeUpnZ0puZ25iVUx6VkhXZz09,,0,1,,0,2025-03-24 18:23:19,2025-03-24 18:23:19
67,55,6980,2596,UU9jVVRKKytZWnhNOTVac213TU90T29mSXRvdUl6VDN3ZVBac2QwZm5PcmJhb01vMnBhZXFzVWNuVGsyYlJEcEs0cmRTS1I3QVdMU21yUjRGak9DSFl3Z05aZXVGMHUvWFZrMzczUUozeHJrQXZpMHdmK0pyVXgxbXVYc0txdzZRUnVhRTNaSmh1YStKT0hVU3V1OXpRPT0=,,0,1,,0,2025-03-24 18:28:19,2025-03-24 18:28:19
68,15,653,134,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 18:33:19,2025-03-24 18:33:19
69,57,7247,6,a1N0NDNqalBsSlVBejRoSitvOEpUa1hybjU5cHlUMDkzd0hDTzBZWmdVMXdzaHhSQStCNmtVS1p6M1hycFJLTWhDbTVNazVEM1VlU0pUWTFpMitqVmU5SmtTendNdVdkYzI5Zm1HVjlqT3RjcjM1N2pINWpGTzlCOTE3ZzIxTEljWGVzTXYxTzlWVFVvL0JhWThZSmluNXFyS2RhQVFTdnZHWUZqUExGNFhybUMrOTBZQzE5Sml1WEpvM0FWUUdGV3IwWjBDQVJSTjlud2pnTHFVakszS2pSTFJRR2R1MmRlQXBic2hSRzEyVnZ4VFNxbTF1Y1hwRkZFTDB1bnhWLzdpTS9oYzdSUWhUK0ZZbG1OMm1rY1dwazJsajAwb3RTQWlPV3VTck1kdFUvZDFKdjIycVQ5RjlBK0NhbVk5elc5L1MySVROd2k4NXRFcHN3YXJnZnJwbnU5azBZMmNub3pscU84Y0xpU3ozcTVxZ1gvZzRNT1lmVWlEOUNPcTlSY1FydHJ0dE9ySzNrUUZCQ2c4cWxxMTNEN3ROS2ZFb1NRWWl3NU15dVNQamd4aDd4TFJYWkY0d2x5T3R2MVFwYjhGQnp6NmJKQWhUc3I3K0gzUXU0a2xxV0NmMVcwN0VVQitWTUFSOVdRV2MyaWRoNU1CRVUxZ1dQb1BGLzZIcjJGUFFPUHo1bWtES2dTbWFwZTlsbE9kTU5IcUh0eitldmVVV1dna1prUEtoRmpzYzlzVUlzK1VwbVJjd1JWWGJoNWt5VzN5T3pzZGNKQjJoL1dmNFBnRFZ1RTVwVE90V0RFcGM5bXUvMjlJamh4MnpVRlpMcWZ1NGdqNjQyd0lWY3FhSGtpdm5mdzJjMTcrSGJTYjhJTTN2bVZlL1k5OWRhcEo1T29oeGtQWGFpVllrRytyRkM1QmY2eWNKemh5TW5rbG1JL0RZMUZMUnJGOGxTZytvNHlBPT0=,,0,1,,0,2025-03-24 18:38:19,2025-03-24 18:38:19
70,58,5688,7598,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 18:43:19,2025-03-24 18:43:19
71,58,5688,7598,UlJqTllZaklHYW1ZTEd2Z29YMkRyZz09,,1,1,,0,2025-03-24 18:48:19,2025-03-24 18:48:19
72,58,7598,5688,ZVl5RG9MTFdXc2IzS1lscHFHQU85Qzl0bEgzaEN3Ykdnd3lyTWJZR01Kdz0=,,1,1,,0,2025-03-24 18:53:19,2025-03-24 18:53:19
73,62,5014,19,M2RWb05hSFBpTDlqd1NrRmlDSGd4dz09,,1,1,,0,2025-03-24 18:58:19,2025-03-24 18:58:19
74,15,653,134,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 19:03:19,2025-03-24 19:03:19
75,15,134,653,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 19:08:19,2025-03-24 19:08:19
76,15,134,653,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-07-18 12:53:19,2025-07-18 12:53:19
77,15,134,653,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-07-19 15:25:47,2025-07-19 15:25:47
78,63,8086,3684,TXdiV0xyS3dsckJRQjVsV3FIUXlBdz09,,1,1,,0,2025-07-20 05:40:04,2025-07-20 05:40:04
79,64,8086,2159,VHJFangwUXlDYzRoQ0J0R3NXSE9DZz09,,0,1,,0,2025-07-20 05:42:20,2025-07-20 05:42:20
80,63,3684,8086,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,0,1,,0,2025-07-20 09:58:09,2025-07-20 09:58:09
81,63,3684,8086,VWVoUmRaOENkSks4SXdFL25wOHovNGtmSlIzZ2xXNm15NFc1WmVUODFxYz0=,,0,1,,0,2025-07-20 09:58:19,2025-07-20 09:58:19
82,65,1029,5207,ZHRYazFuR2paUVYzbndBS2ZnRW0wZz09,,0,1,,0,2025-07-20 15:25:20,2025-07-20 15:25:20
83,64,2159,8086,UW1VWk8wUTc5d0szRXVFQlE3TjAvUT09,,0,1,,0,2025-07-20 15:55:51,2025-07-20 15:55:51
84,64,2159,8086,WVg2WGMvSzROUk0yQmY0V1RwTGo1OEIwZGRIbHZ4ZTV4V2I5aWJFTlFjTTZyVk1yWG52TnBwOGhLekxmUTRISEk2Ynk4cWpRMHkwYmVNbXkwMThNRS9oc1U3Z0Zoc1pqRW1iZTM0bWJTMTJUcUNORHMvTTVXanV6Y3BpK1pqWmlFR09pUU9jR3BnMTNJWTZLRkpzS1J2Z3J4ZFRCaVVvUk9aTFVTZ2s3WnRGSVlvVXZ6V3FSYTRpVWtDK040QkJUUlpjaG01c2Y1YzNtczVob1BtaEUzTEF6ZmFlTk9QV3Faby92MTZaUUhzVDZwT0RLVnFCY3k2ZDVpUjQySWd5ZGJTOEpuYUFwVDlZc0RSMlF2MGsvTW1YVjFkb1I5b3dOTmszVFRKcmw1TGRwUDhvbEFQdDF2RnFmc0cyQTNGSVBVYjEwT3E2enJzTkNzRkhQQmVtOXNaTTJrcDVlN1h3dGFET0RpVVV5K3huLzRvMmNCb2UzbWREbUVLbnF2Y2hpL0FOQnhpUVlESEwzT2pOVDNjWFhvWHRwalJ5TGRBc1YwOU9iMlpGS05LK2I3U3RHSHRwak1uVnR3REp0K1ozc1kyOHAwZHhDQittai9HbFB4N3V4YXg2aTJoUkhFVkoxeGo4ZUhKclRNVkpCQnQ0K1BubkVsWWlMM0RkT2RlbXBNblNjU2I1YlE2cWhYT3JrT2p6MUFjSGx4RGNad016dU9JUWt6UXZId2JsNEY3M2t4M1B4U2h3cGM5WUEzTi92aVVIUE9mTm8xaGFCVExXMHFyaVgwNE5ZSzB3SHc5eDF5VEt6ZW03WjV1VmtVNTdwOFlZMEN3cGlwaW1GMm5QRkxDQVEyZXhZZHY5dzdzNW9SQUYzZWk5Lzd6K2dRVWM0SW9KMm0yZW81UVFLZG15aWVnL3V6elhIYlRsc2oxUzNuaWNKQ1Y1RGVoVHVWMFc5bWd3eFpBWmc3TDlVN2tTQ2dlQ1c2WDR0WEFhYzhMQXBxdXdYR3VqVE9uZy9Bc0FLTng2ZjMwY0pIRWpranhndnJ6Ymk3TkZ4OXJNMjh6VlFTaEFoQkk1OXhtdWVMMlZnaCtSbDIzWG54SEkyd2RTcnFrVzFsc2lJN1VEYTM3ZDlsSEhwR0Y4M0VnRnNhUUNBZEtTa2l0TktqK1Z1QnRVWHhTN0tHRGxhWnNUTjIzT3JqNWgxUHdaV0NBU2M4a3BnWFppUEo5dWZFd1pnVWdVTi93T1JhTlpuODUrMGpFYXV2RkEycWZyRm5KNkVrR0ltNExBSW5PelQ3eEdlUnVKUW9tSTdUUDJSWU5VWVBoeHBJcGhCZm1RSW5yV2tPSEVlZGl6NXROL1pqeEQzWEhpc0llVEZFSlNYemd1aTJhQytWR2VUVmtZbHFnTzNNTDliZ2xpMVUzcnlKU3V5MEYvaXRJVGVDTGU5djNCZUFZeVk1bkJ5UUdGQVVzTlI1L0k0ZlR0eHBzMXVKZGNXUmJKVUNFbWxYZDArSTZRR1Z5ZGJ1K0p4KzBIK0pXL1BZeHNlSFZPOGlVeFpmTUJyWnhhdTRYTUNqU2J1YWg1byt1MituRWVkVjFJeVp6UlpTdW1heEpITEpJR1ZlNUx0TmFxV0RmSjBTYlpFWWZjMmk4R2Mrak1vd2U4TjIydkRRUnd4anhnaGtKR2lNbzA9,,0,1,,0,2025-07-20 15:56:05,2025-07-20 15:56:05
85,15,653,134,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-07-21 11:16:07,2025-07-21 11:16:07
86,70,8630,2205,d0JkMlczRHFlTVhwalZwWWIrWjRnQT09,,0,1,,0,2025-07-25 15:20:34,2025-07-25 15:20:34
87,15,134,653,Q1hlb3QrNFpCbjFtYUlPeXBicnNEZz09,,1,1,,0,2025-07-28 13:20:55,2025-07-28 13:20:55
88,15,134,653,Q1hlb3QrNFpCbjFtYUlPeXBicnNEZz09,,1,1,,0,2025-07-28 13:21:04,2025-07-28 13:21:04
89,15,134,653,Q1hlb3QrNFpCbjFtYUlPeXBicnNEZz09,,1,1,,0,2025-07-28 13:21:23,2025-07-28 13:21:23
90,15,134,653,Q1hlb3QrNFpCbjFtYUlPeXBicnNEZz09,,1,1,,0,2025-07-28 13:21:32,2025-07-28 13:21:32
91,15,134,653,Q1hlb3QrNFpCbjFtYUlPeXBicnNEZz09,,1,1,,0,2025-07-28 13:21:53,2025-07-28 13:21:53
92,15,653,134,Q1hlb3QrNFpCbjFtYUlPeXBicnNEZz09,,1,1,,0,2025-07-28 13:23:14,2025-07-28 13:23:14
93,15,134,653,RGpXWlZxVGxOT25vSDZ6YUFpa0R4dz09,,1,1,,0,2025-07-30 12:42:17,2025-07-30 12:42:17
94,15,134,653,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-07-30 12:42:31,2025-07-30 12:42:31
