id,user,skill,rating,status,is_deleted,create_date,modify_date
6364,38829,18206,3,1,0,,
6366,39080,8191,4,1,0,,
6367,39080,17781,4,1,0,,
6368,39099,8191,4,1,0,,
6369,39099,18984,5,1,0,,
6371,39117,18984,5,1,0,,
6372,39120,15685,4,1,0,,
6373,39120,8470,4,1,0,,
6374,39124,14318,4,1,0,,
6381,39080,11797,5,1,0,,
6382,39137,15165,5,1,0,,
6383,39137,8191,5,1,0,,
6384,2670,13895,3,1,0,,
6385,2670,132,5,1,0,,
6386,38829,10326,4,1,0,,
6387,38829,7570,2,1,0,,
6388,38829,8694,1,1,0,,
6389,39169,8191,4,1,0,,
6390,39169,12576,5,1,0,,
6391,39169,7568,5,1,0,,
6395,39001,3851,4,1,0,,
6397,39001,880,4,1,0,,
6399,39275,9622,3,1,0,,
6400,639,12712,3,1,0,,
6401,639,8221,4,1,0,,
6402,639,16712,3,1,0,,
6403,639,5270,1,1,0,,
6404,639,16554,4,1,0,,
6405,639,5063,4,1,0,,
6406,639,12559,4,1,0,,
6407,38829,18957,0,1,0,,
6408,38829,18958,0,1,0,,
6409,38829,17565,0,1,0,,
6410,38829,18959,0,1,0,,
6411,38829,8287,0,1,0,,
6412,38829,8196,0,1,0,,
6413,38829,13709,0,1,0,,
6414,38829,17389,0,1,0,,
6415,38829,18960,0,1,0,,
6416,38829,18961,0,1,0,,
6417,38829,818,0,1,0,,
6418,38829,18962,0,1,0,,
6423,38872,18957,5,1,0,,
6424,38872,17656,4,1,0,,
6426,39332,12829,4,1,0,,
6429,39316,15839,3,1,0,,
6432,39335,17419,2,1,0,,
6433,39331,8191,4,1,0,,
6434,39331,9731,4,1,0,,
6435,5014,19020,3,1,0,,
6437,39001,1288,5,1,0,,
6439,39314,12046,5,1,0,,
6440,39335,19037,3,1,0,,
6444,40083,19213,3,1,0,,
6445,40083,11855,4,1,0,,
6446,639,15726,5,1,0,,
6448,39001,17484,4,1,0,,
6452,40135,13033,4,1,0,,
6455,40119,19258,4,1,0,,
6456,40138,18957,0,1,0,,
6457,40138,18958,0,1,0,,
6458,40138,17565,0,1,0,,
6459,40138,18959,0,1,0,,
6460,40138,8287,0,1,0,,
6461,40138,8196,0,1,0,,
6462,40138,13709,0,1,0,,
6463,40138,17389,0,1,0,,
6464,40138,18960,0,1,0,,
6465,40138,18961,0,1,0,,
6466,40138,818,0,1,0,,
6467,40138,18962,0,1,0,,
6468,39001,10184,5,1,0,,
6469,39001,14362,5,1,0,,
6470,40085,9395,5,1,0,,
6471,40085,17849,3,1,0,,
6472,639,10354,2,1,0,,
6473,40159,2228,2,1,0,,
6474,40219,8191,4,1,0,,
6475,40219,811,4,1,0,,
6476,40218,18453,5,1,0,,
6477,40218,17930,5,1,0,,
6478,40218,4708,5,1,0,,
6479,40218,14235,5,1,0,,
6480,40218,3295,5,1,0,,
6481,40218,3296,4,1,0,,
6482,40290,17327,5,1,0,,
6484,40312,17930,5,1,0,,
6485,40312,19319,5,1,0,,
6486,40312,19034,4,1,0,,
6487,40312,14235,5,1,0,,
6488,40312,15237,5,1,0,,
6489,40312,17404,5,1,0,,
6490,40119,18443,5,1,0,,
6491,40331,18957,4,1,0,,
6492,40331,18958,4,1,0,,
6493,40331,17565,3,1,0,,
6494,40331,18959,4,1,0,,
6495,40333,14893,4,1,0,,
6496,40335,19315,5,1,0,,
6497,40335,18443,5,1,0,,
6498,40335,19346,5,1,0,,
6499,40335,18462,5,1,0,,
6500,40335,18041,5,1,0,,
6501,40340,19347,5,1,0,,
6502,40340,19348,5,1,0,,
6503,40340,15610,5,1,0,,
6505,18,19350,4,1,0,,
6506,40352,19315,5,1,0,,
6507,40352,18443,5,1,0,,
6508,40352,19346,5,1,0,,
6509,40352,18462,5,1,0,,
6510,40352,18041,5,1,0,,
6511,40352,17369,5,1,0,,
6512,40352,19351,5,1,0,,
6513,40352,17325,5,1,0,,
6514,40355,18957,4,1,0,,
6515,40355,18958,4,1,0,,
6516,40355,17565,4,1,0,,
6517,40355,18959,4,1,0,,
6518,40355,19357,4,1,0,,
