id,name,status,user_id,user_defined,create_date,modify_date
14253,Software,1,,1,,
14254,Software Configuration Management,1,,1,,
14255,Software Craftsmanship,1,,1,,
14256,Software Deployment,1,,1,,
14257,Software Design,1,,1,,
14258,Software Design Patterns,1,,1,,
14259,Software Development,1,,1,,
14260,Software Development Methodologies,1,,1,,
14261,Software Documentation,1,,1,,
14262,Software Engineering,1,,1,,
14263,Software Escrow,1,,1,,
14264,Software Implementation,1,,1,,
14265,Software Industry,1,,1,,
14266,Software Installation,1,,1,,
14267,Software License Agreements,1,,1,,
14268,Software Licensing,1,,1,,
14269,Software Licensing Management,1,,1,,
14270,Software Packaging,1,,1,,
14271,Software Project Management,1,,1,,
14272,Software Quality Assurance,1,,1,,
14273,Software Reuse,1,,1,,
14274,Software Sales,1,,1,,
14275,Software Testing Life Cycle,1,,1,,
14276,Software Troubleshooting,1,,1,,
14277,Software Updates,1,,1,,
14278,Software Verification,1,,1,,
14279,Soft Dollars,1,,1,,
14280,Soft Skills,1,,1,,
14281,Soft Tissue,1,,1,,
14282,Soft Tissue Injuries,1,,1,,
14283,Soft Tissue Surgery,1,,1,,
14284,Soft Tissue Therapy,1,,1,,
14285,SOHO,1,,1,,
14286,SOI,1,,1,,
14287,Soil,1,,1,,
14288,Soildworks,1,,1,,
14289,Soil Chemistry,1,,1,,
14290,Soil Classification,1,,1,,
14291,Soil Fertility,1,,1,,
14292,Soil Improvement,1,,1,,
14293,Soil Management,1,,1,,
14294,Soil Mapping,1,,1,,
14295,Soil Mechanics,1,,1,,
14296,Soil Microbiology,1,,1,,
14297,Soil Nailing,1,,1,,
14298,Soil Physics,1,,1,,
14299,Soil Sampling,1,,1,,
14300,Soil Science,1,,1,,
14301,Soil Stabilization,1,,1,,
14302,Soil Vapor Extraction,1,,1,,
14303,Solarc Right Angle,1,,1,,
14304,Solaris,1,,1,,
14305,Solaris Volume Manager,1,,1,,
14306,Solaris Zones,1,,1,,
14307,Solar Cells,1,,1,,
14308,Solar Energy,1,,1,,
14309,Solar Hot Water,1,,1,,
14310,Solar PV,1,,1,,
14311,Solar Thermal,1,,1,,
14312,Soldering,1,,1,,
14313,Soldering Iron,1,,1,,
14314,Sol-gel,1,,1,,
14315,solid-state NMR,1,,1,,
14316,SolidWorks,1,,1,,
14317,Solid Edge,1,,1,,
14318,Solid Mechanics,1,,1,,
14319,Solid Modeling,1,,1,,
14320,Solid Oral Dosage Forms,1,,1,,
14321,Solid Oxide Fuel Cells,1,,1,,
14322,Solid State Lighting,1,,1,,
14323,Solid Waste,1,,1,,
14324,Solo Piano,1,,1,,
14325,Solutions Enabler,1,,1,,
14326,Solutions Focused,1,,1,,
14327,Solutions Marketing,1,,1,,
14328,Solution Architecture,1,,1,,
14329,Solution Focused,1,,1,,
14330,Solution Implementation,1,,1,,
14331,Solution Seeker,1,,1,,
14332,Solution Selling,1,,1,,
14333,Solvency II,1,,1,,
14334,Solvent Extraction,1,,1,,
14335,SOMA,1,,1,,
14336,Somali,1,,1,,
14337,Somatics,1,,1,,
14338,Somatic Experiencing,1,,1,,
14339,Somatic Psychology,1,,1,,
14340,SomatoEmotional Release,1,,1,,
14341,Sommelier,1,,1,,
14342,Sonar,1,,1,,
14343,Songs,1,,1,,
14344,Songwriting,1,,1,,
14345,Song Production,1,,1,,
14346,Sonic,1,,1,,
14347,Sonication,1,,1,,
14348,SonicWALL,1,,1,,
14349,Sonic Scenarist,1,,1,,
14350,Sonnet,1,,1,,
14351,Sonography,1,,1,,
14352,Sonus,1,,1,,
14353,Sony Camcorders,1,,1,,
14354,Sony HDV,1,,1,,
14355,Sony Vegas,1,,1,,
14356,Sony Vegas Video,1,,1,,
14357,Sony Z1U,1,,1,,
14358,SOP,1,,1,,
14359,SOPC Builder,1,,1,,
14360,Sophis,1,,1,,
14361,Sophos,1,,1,,
14362,Soprano,1,,1,,
14363,SOP 97-2,1,,1,,
14364,SOP Authoring,1,,1,,
14365,SOP Development,1,,1,,
14366,SOR,1,,1,,
14367,Sorenson Squeeze,1,,1,,
14368,Sortation,1,,1,,
14369,Sorting,1,,1,,
14370,SOS,1,,1,,
14371,SOSL,1,,1,,
14372,SOT,1,,1,,
14373,Soul,1,,1,,
14374,Sound,1,,1,,
14375,Soundslides Plus,1,,1,,
14376,Soundtrack,1,,1,,
14377,Soundtrack Pro,1,,1,,
14378,Sound Design,1,,1,,
14379,Sound Editing,1,,1,,
14380,Sound Effects,1,,1,,
14381,Sound Forge,1,,1,,
14382,Sound Mixing,1,,1,,
14383,Sound Reinforcement,1,,1,,
14384,SourceGear Vault,1,,1,,
14385,Sourcing,1,,1,,
14386,Southern Africa,1,,1,,
14387,Southern Blot,1,,1,,
14388,South Asia,1,,1,,
14389,Sovereign,1,,1,,
14390,Sovereign Debt,1,,1,,
14391,SOW,1,,1,,
14392,SOX 404,1,,1,,
14393,Soybean,1,,1,,
14394,Spa,1,,1,,
14395,Spacecraft,1,,1,,
14396,Space Management,1,,1,,
14397,Space Planning,1,,1,,
14398,Space Systems,1,,1,,
14399,Spanish,1,,1,,
14400,Spanish Literature,1,,1,,
14401,Spanish Translation,1,,1,,
14402,Spanning Tree,1,,1,,
14403,Spare Parts,1,,1,,
14404,SPARQL,1,,1,,
14405,Sparx Enterprise Architect,1,,1,,
14406,Spatial Analysis,1,,1,,
14407,Spatial Databases,1,,1,,
14408,Spatial Planning,1,,1,,
14409,SPC,1,,1,,
14410,SPCC,1,,1,,
14411,SPCC Plans,1,,1,,
14412,SPD,1,,1,,
14413,SPDs,1,,1,,
14414,Speakers Bureau,1,,1,,
14415,Specialty Coffee,1,,1,,
14416,Specialty Items,1,,1,,
14417,Special Collections,1,,1,,
14418,Special Education,1,,1,,
14419,Special Effects,1,,1,,
14420,Special Effects Makeup,1,,1,,
14421,Special Event,1,,1,,
14422,Special Events,1,,1,,
14423,Special Events Coordination,1,,1,,
14424,Special Events Production,1,,1,,
14425,Special Libraries,1,,1,,
14426,Special Needs Populations,1,,1,,
14427,Special Needs Trusts,1,,1,,
14428,Special Operations,1,,1,,
14429,Special Populations,1,,1,,
14430,Specific expertise in the following,1,,1,,
14431,Spectroscopy,1,,1,,
14432,Speculative Fiction,1,,1,,
14433,Speech,1,,1,,
14434,Speech Enhancement,1,,1,,
14435,Speech Therapy,1,,1,,
14436,Speech Writing,1,,1,,
14437,Spend Analysis,1,,1,,
14438,SPF,1,,1,,
14439,Sphere,1,,1,,
14440,Sphinx,1,,1,,
14441,SPHR,1,,1,,
14442,SPI,1,,1,,
14443,SPICE,1,,1,,
14444,Spices,1,,1,,
14445,Spiceworks,1,,1,,
14446,Spinal Cord Injury,1,,1,,
14447,Spinal Cord Stimulation,1,,1,,
14448,Spinal Decompression,1,,1,,
14449,Spinal Manipulation,1,,1,,
14450,Spina Bifida,1,,1,,
14451,Spine,1,,1,,
14452,Spinning,1,,1,,
14453,SPIN Selling,1,,1,,
14454,SPIP,1,,1,,
14455,Spiritual Counselor,1,,1,,
14456,Spiritual Direction,1,,1,,
