id,company_id,benefit_id,description,status,sortOrder,is_deleted,create_date,modify_date
82,5391,5,,1,,0,2025-06-26 20:15:07,2025-06-26 20:15:07
83,5391,28,,1,,0,2025-06-26 20:15:24,2025-06-26 20:15:24
84,5391,20,,1,,0,2025-06-26 20:15:32,2025-06-26 20:15:32
85,4030,2,,1,,0,2025-06-27 17:07:27,2025-06-27 17:07:27
86,4030,20,,1,,0,2025-06-27 17:07:42,2025-06-27 17:07:42
87,5536,2,,1,,0,2025-06-28 08:57:34,2025-06-28 08:57:34
88,5536,27,,1,,0,2025-06-28 08:58:09,2025-06-28 08:58:09
89,5536,29,,1,,0,2025-06-28 10:02:23,2025-06-28 10:02:23
90,3710,4,,1,,0,2025-07-01 16:48:02,2025-07-01 16:48:02
91,3710,2,,1,,0,2025-07-01 16:48:11,2025-07-01 16:48:11
92,5034,5,,1,,1,2025-07-03 11:46:40,2025-07-03 11:46:40
93,5034,5,,1,,1,2025-07-03 11:50:14,2025-07-03 11:50:14
94,5034,2,,1,,0,2025-07-03 11:51:20,2025-07-03 11:51:20
95,5034,5,,1,,0,2025-07-03 11:51:29,2025-07-03 11:51:29
96,5034,30,,1,,0,2025-07-03 11:53:04,2025-07-03 11:53:04
97,4311,1,,1,,0,2025-07-03 16:43:23,2025-07-03 16:43:23
98,4311,2,,1,,0,2025-07-03 16:43:29,2025-07-03 16:43:29
99,4311,3,,1,,0,2025-07-03 16:43:34,2025-07-03 16:43:34
100,4311,4,,1,,0,2025-07-03 16:43:37,2025-07-03 16:43:37
101,4311,19,,1,,0,2025-07-03 16:43:50,2025-07-03 16:43:50
102,4311,20,,1,,0,2025-07-03 16:43:54,2025-07-03 16:43:54
103,4311,26,,1,,0,2025-07-03 16:44:02,2025-07-03 16:44:02
104,4311,27,,1,,0,2025-07-03 16:44:06,2025-07-03 16:44:06
105,6306,2,,1,,0,2025-07-03 17:14:27,2025-07-03 17:14:27
106,6306,3,,1,,0,2025-07-03 17:16:56,2025-07-03 17:16:56
107,6306,20,,1,,0,2025-07-03 17:20:52,2025-07-03 17:20:52
108,6306,21,,1,,0,2025-07-03 17:21:00,2025-07-03 17:21:00
109,6306,24,,1,,0,2025-07-03 17:21:06,2025-07-03 17:21:06
110,6306,28,,1,,0,2025-07-03 17:21:12,2025-07-03 17:21:12
111,7249,4,,1,,0,2025-07-09 21:14:38,2025-07-09 21:14:38
112,5654,2,,1,,1,2025-07-10 19:39:17,2025-07-10 19:39:17
113,5654,2,,1,,0,2025-07-10 19:39:49,2025-07-10 19:39:49
114,5654,3,,1,,0,2025-07-10 19:44:17,2025-07-10 19:44:17
115,5654,4,,1,,0,2025-07-10 19:44:41,2025-07-10 19:44:41
116,7442,3,,1,,0,2025-07-11 12:13:16,2025-07-11 12:13:16
117,5688,2,,1,,1,2025-07-12 17:10:58,2025-07-12 17:10:58
118,5688,31,,1,,0,2025-07-12 17:11:44,2025-07-12 17:11:44
119,5688,2,,1,,0,2025-07-12 17:11:59,2025-07-12 17:11:59
120,5688,32,,1,,0,2025-07-12 17:12:35,2025-07-12 17:12:35
